PC,explained_percent,cumulative_percent
1,54.5720,54.5720
2,17.0272,71.5992
3,13.6724,85.2716
4,4.9952,90.2668
5,3.1462,93.4129
6,2.0690,95.4819
7,1.2650,96.7469
8,0.8834,97.6303
9,0.5346,98.1650
10,0.4939,98.6588
11,0.3121,98.9709
12,0.2332,99.2041
13,0.1658,99.3699
14,0.1311,99.5011
15,0.0754,99.5765
16,0.0748,99.6512
17,0.0533,99.7045
18,0.0450,99.7495
19,0.0336,99.7831
20,0.0296,99.8127
21,0.0228,99.8355
22,0.0170,99.8525
23,0.0165,99.8690
24,0.0139,99.8829
25,0.0114,99.8943
26,0.0099,99.9042
27,0.0086,99.9128
28,0.0070,99.9197
29,0.0061,99.9259
30,0.0061,99.9320
31,0.0050,99.9370
32,0.0047,99.9417
33,0.0044,99.9461
34,0.0041,99.9502
35,0.0040,99.9543
36,0.0030,99.9572
37,0.0027,99.9600
38,0.0026,99.9626
39,0.0024,99.9649
40,0.0021,99.9671
41,0.0020,99.9691
42,0.0017,99.9708
43,0.0016,99.9724
44,0.0016,99.9740
45,0.0016,99.9756
46,0.0014,99.9769
47,0.0013,99.9782
48,0.0012,99.9794
49,0.0012,99.9806
50,0.0010,99.9816
51,0.0009,99.9825
52,0.0008,99.9834
53,0.0008,99.9842
54,0.0008,99.9849
55,0.0007,99.9857
56,0.0007,99.9863
57,0.0007,99.9870
58,0.0006,99.9876
59,0.0006,99.9882
60,0.0005,99.9887
61,0.0005,99.9892
62,0.0005,99.9897
63,0.0005,99.9902
64,0.0004,99.9906
65,0.0004,99.9910
66,0.0004,99.9914
67,0.0004,99.9918
68,0.0003,99.9921
69,0.0003,99.9924
70,0.0003,99.9927
71,0.0003,99.9930
72,0.0003,99.9933
73,0.0003,99.9936
74,0.0002,99.9938
75,0.0002,99.9941
76,0.0002,99.9943
77,0.0002,99.9945
78,0.0002,99.9947
79,0.0002,99.9949
80,0.0002,99.9951
81,0.0002,99.9953
82,0.0002,99.9954
83,0.0002,99.9956
84,0.0002,99.9957
85,0.0001,99.9959
86,0.0001,99.9960
87,0.0001,99.9962
88,0.0001,99.9963
89,0.0001,99.9964
90,0.0001,99.9966
91,0.0001,99.9967
92,0.0001,99.9968
93,0.0001,99.9969
94,0.0001,99.9970
95,0.0001,99.9971
96,0.0001,99.9972
97,0.0001,99.9973
98,0.0001,99.9974
99,0.0001,99.9975
100,0.0001,99.9976
101,0.0001,99.9977
102,0.0001,99.9977
103,0.0001,99.9978
104,0.0001,99.9979
105,0.0001,99.9980
106,0.0001,99.9980
107,0.0001,99.9981
108,0.0001,99.9982
109,0.0001,99.9982
110,0.0001,99.9983
111,0.0001,99.9983
112,0.0001,99.9984
113,0.0001,99.9985
114,0.0001,99.9985
115,0.0001,99.9986
116,0.0001,99.9986
117,0.0000,99.9987
118,0.0000,99.9987
119,0.0000,99.9988
120,0.0000,99.9988
121,0.0000,99.9988
122,0.0000,99.9989
123,0.0000,99.9989
124,0.0000,99.9990
125,0.0000,99.9990
126,0.0000,99.9990
127,0.0000,99.9991
128,0.0000,99.9991
129,0.0000,99.9991
130,0.0000,99.9992
131,0.0000,99.9992
132,0.0000,99.9992
133,0.0000,99.9993
134,0.0000,99.9993
135,0.0000,99.9993
136,0.0000,99.9993
137,0.0000,99.9994
138,0.0000,99.9994
139,0.0000,99.9994
140,0.0000,99.9994
141,0.0000,99.9995
142,0.0000,99.9995
143,0.0000,99.9995
144,0.0000,99.9995
145,0.0000,99.9995
146,0.0000,99.9996
147,0.0000,99.9996
148,0.0000,99.9996
149,0.0000,99.9996
150,0.0000,99.9996
151,0.0000,99.9996
152,0.0000,99.9997
153,0.0000,99.9997
154,0.0000,99.9997
155,0.0000,99.9997
156,0.0000,99.9997
157,0.0000,99.9997
158,0.0000,99.9997
159,0.0000,99.9998
160,0.0000,99.9998
161,0.0000,99.9998
162,0.0000,99.9998
163,0.0000,99.9998
164,0.0000,99.9998
165,0.0000,99.9998
166,0.0000,99.9998
167,0.0000,99.9998
168,0.0000,99.9998
169,0.0000,99.9999
170,0.0000,99.9999
171,0.0000,99.9999
172,0.0000,99.9999
173,0.0000,99.9999
174,0.0000,99.9999
175,0.0000,99.9999
176,0.0000,99.9999
177,0.0000,99.9999
178,0.0000,99.9999
179,0.0000,99.9999
180,0.0000,99.9999
181,0.0000,99.9999
182,0.0000,99.9999
183,0.0000,99.9999
184,0.0000,99.9999
185,0.0000,100.0000
186,0.0000,100.0000
187,0.0000,100.0000
188,0.0000,100.0000
189,0.0000,100.0000
190,0.0000,100.0000
191,0.0000,100.0000
192,0.0000,100.0000
193,0.0000,100.0000
194,0.0000,100.0000
195,0.0000,100.0000
196,0.0000,100.0000
197,0.0000,100.0000
198,0.0000,100.0000
199,0.0000,100.0000
200,0.0000,100.0000
201,0.0000,100.0000
202,0.0000,100.0000
