experiment,channel_row,ycoord_um,reldepth,cluster,PC1,PC2
05-15-2022,0,-15.0,0.0000,6,8.00668,-15.24114
05-15-2022,4,15.0,0.0323,6,8.70584,-15.76748
05-15-2022,6,30.0,0.0645,6,9.20753,-15.78678
05-15-2022,10,60.0,0.0968,6,9.86511,-14.91618
05-15-2022,12,75.0,0.1290,6,10.54918,-14.33802
05-15-2022,16,105.0,0.1613,6,12.16242,-11.96280
05-15-2022,18,120.0,0.1935,6,12.99271,-10.39537
05-15-2022,22,150.0,0.2258,6,15.07240,-6.81828
05-15-2022,24,165.0,0.2581,6,15.79600,-5.37847
05-15-2022,28,195.0,0.2903,6,16.89943,-2.41035
05-15-2022,30,210.0,0.3226,6,17.40204,-0.81963
05-15-2022,34,240.0,0.3548,4,18.40972,3.29380
05-15-2022,36,255.0,0.3871,4,18.93550,4.62758
05-15-2022,40,285.0,0.4194,4,18.96408,7.36666
05-15-2022,42,300.0,0.4516,4,18.21410,8.84261
05-15-2022,46,330.0,0.4839,4,16.33149,10.92821
05-15-2022,96,345.0,0.5161,4,14.90765,12.23598
05-15-2022,100,375.0,0.5484,4,12.82010,13.26192
05-15-2022,102,390.0,0.5806,4,11.54129,14.20402
05-15-2022,106,420.0,0.6129,4,9.17786,15.39988
05-15-2022,108,435.0,0.6452,4,8.37047,15.52567
05-15-2022,112,465.0,0.6774,4,6.91971,16.25538
05-15-2022,114,480.0,0.7097,4,6.10609,16.74206
05-15-2022,118,510.0,0.7419,4,6.31275,17.14639
05-15-2022,120,525.0,0.7742,4,6.32077,17.18763
05-15-2022,124,555.0,0.8065,4,6.49384,17.97789
05-15-2022,125,570.0,0.8387,4,1.78068,18.71887
05-15-2022,129,600.0,0.8710,4,2.50786,19.15747
05-15-2022,131,615.0,0.9032,4,2.74929,19.22956
05-15-2022,135,645.0,0.9355,4,3.36627,20.19114
05-15-2022,137,660.0,0.9677,4,4.16315,19.96464
05-15-2022,141,690.0,1.0000,4,5.03732,20.57822
05-17-2022,0,-15.0,0.0000,4,3.72472,-0.39058
05-17-2022,4,15.0,0.0323,4,0.33597,2.11012
05-17-2022,6,30.0,0.0645,4,0.49618,1.17650
05-17-2022,10,60.0,0.0968,4,-2.32299,3.79942
05-17-2022,12,75.0,0.1290,4,-2.41752,3.82042
05-17-2022,16,105.0,0.1613,4,-3.19685,4.42314
05-17-2022,18,120.0,0.1935,4,-2.79673,3.70053
05-17-2022,22,150.0,0.2258,4,-3.83465,5.10823
05-17-2022,24,165.0,0.2581,4,-3.86805,5.19584
05-17-2022,28,195.0,0.2903,4,-4.79444,6.34672
05-17-2022,30,210.0,0.3226,4,-4.54258,6.24271
05-17-2022,34,240.0,0.3548,4,-4.51992,6.91477
05-17-2022,36,255.0,0.3871,4,-4.42271,6.90822
05-17-2022,40,285.0,0.4194,4,-4.65739,8.29161
05-17-2022,42,300.0,0.4516,4,-4.35004,8.08126
05-17-2022,46,330.0,0.4839,4,-2.47935,6.60732
05-17-2022,96,345.0,0.5161,4,-4.04230,9.75864
05-17-2022,100,375.0,0.5484,4,-1.44546,7.45763
05-17-2022,102,390.0,0.5806,4,-2.55083,10.56514
05-17-2022,106,420.0,0.6129,4,-3.21114,13.33934
05-17-2022,108,435.0,0.6452,4,-2.67179,14.05283
05-17-2022,112,465.0,0.6774,4,-2.24808,15.58209
05-17-2022,114,480.0,0.7097,4,-2.54172,16.93113
05-17-2022,118,510.0,0.7419,4,0.50197,20.36969
05-17-2022,120,525.0,0.7742,4,0.30096,21.60233
05-17-2022,124,555.0,0.8065,3,8.34748,16.27647
05-17-2022,126,570.0,0.8387,3,4.77334,23.19314
05-17-2022,130,600.0,0.8710,3,5.50239,24.89219
05-17-2022,132,615.0,0.9032,3,6.56975,23.58654
05-17-2022,136,645.0,0.9355,3,14.23149,11.08754
05-17-2022,138,660.0,0.9677,3,9.28936,23.99334
05-17-2022,142,690.0,1.0000,3,6.10954,28.10304
06-18-2022,0,0.0,0.0000,1,-48.36656,-2.38302
06-18-2022,4,30.0,0.0323,1,-48.80260,-2.29023
06-18-2022,6,45.0,0.0645,1,-49.09087,-2.24023
06-18-2022,10,75.0,0.0968,1,-49.57871,-2.06674
06-18-2022,12,90.0,0.1290,1,-49.00753,-2.45200
06-18-2022,16,120.0,0.1613,1,-49.54241,-1.93947
06-18-2022,18,135.0,0.1935,1,-49.89259,-1.52717
06-18-2022,22,165.0,0.2258,1,-49.95919,-1.37208
06-18-2022,24,180.0,0.2581,1,-49.82200,-1.33403
06-18-2022,28,210.0,0.2903,1,-49.50001,-1.73915
06-18-2022,30,225.0,0.3226,1,-50.10602,-0.93393
06-18-2022,34,255.0,0.3548,1,-49.57491,-1.22789
06-18-2022,36,270.0,0.3871,1,-49.86117,-0.54461
06-18-2022,40,300.0,0.4194,1,-49.31275,-0.50989
06-18-2022,42,315.0,0.4516,1,-50.08068,0.25150
06-18-2022,46,345.0,0.4839,1,-49.79293,0.34939
06-18-2022,96,360.0,0.5161,1,-49.40328,0.32749
06-18-2022,100,390.0,0.5484,1,-48.59750,0.49785
06-18-2022,102,405.0,0.5806,1,-48.70774,0.85500
06-18-2022,106,435.0,0.6129,1,-49.02224,1.18946
06-18-2022,108,450.0,0.6452,1,-48.77514,2.17327
06-18-2022,112,480.0,0.6774,1,-48.10708,2.35039
06-18-2022,114,495.0,0.7097,1,-47.26188,1.92550
06-18-2022,118,525.0,0.7419,1,-47.82567,3.99090
06-18-2022,120,540.0,0.7742,1,-46.84372,3.83161
06-18-2022,124,570.0,0.8065,4,-15.54156,-17.85923
06-18-2022,126,585.0,0.8387,1,-46.53314,5.78980
06-18-2022,130,615.0,0.8710,1,-45.26803,6.65720
06-18-2022,132,630.0,0.9032,1,-45.15509,7.54359
06-18-2022,136,660.0,0.9355,1,-44.39847,9.04502
06-18-2022,138,675.0,0.9677,1,-43.68646,10.93939
06-18-2022,142,705.0,1.0000,1,-41.44797,12.84542
06-21-2022,0,-15.0,0.0000,5,10.20854,-19.65146
06-21-2022,4,15.0,0.0323,5,9.77872,-20.29949
