date,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14
05-15-2022,-100.023597,22.520774,-1.433735,-18.229164,9.775371,42.822069,-7.847928,21.165701,-44.990825,34.116672,30.252624,-18.532682,6.167001,-0.000000
05-17-2022,-93.795712,129.498635,31.114374,-85.960052,-74.760567,0.520392,9.090139,28.972865,-19.992940,-12.717904,-34.103264,-4.163651,-11.263387,-0.000000
06-21-2022,104.077405,-50.377849,-48.391550,85.740983,-17.573751,78.722948,41.400887,-20.849904,-13.728003,11.900593,-12.939136,19.380564,-11.207747,-0.000000
06-24-2022,76.153962,-42.439270,159.916251,30.397423,46.649192,-4.636885,21.372722,-3.345897,-31.513693,-43.205945,7.690816,-0.274206,3.619915,-0.000000
06-29-2022,34.962637,207.108036,5.886955,9.287677,-11.605287,-1.607711,-13.853179,23.125167,13.453928,0.889711,14.179194,32.230781,18.982938,-0.000000
07-04-2022,282.017354,-90.229687,-112.106557,-48.520840,-29.996700,-59.101810,-3.511210,-13.536721,-27.362811,0.940094,-3.740823,-2.712473,10.711982,-0.000000
08-07-2022,196.840744,196.920438,-10.554435,1.930881,53.365303,7.507661,-42.779210,-20.418395,17.056061,0.513393,2.737937,-15.319674,-18.216054,-0.000000
08-15-2021,-255.604430,24.647414,-95.257715,-72.852307,61.439677,-25.201274,28.861893,-45.302654,-4.793175,-9.302978,5.524693,11.225502,-3.952378,-0.000000
09-29-2021,-70.740329,-72.741628,-56.820794,7.945632,-72.605434,44.548124,-25.549532,-14.661687,28.551981,-37.226690,23.756778,-12.282904,3.807681,-0.000000
10-05-2021,-81.952847,-129.844254,-50.727489,28.067043,65.254193,17.706714,-61.685101,37.445530,2.723170,-5.345531,-32.972017,2.373020,6.533947,-0.000000
11-01-2021,-42.726567,-137.279850,53.644714,16.349737,-27.173013,-56.218923,-29.066502,19.446021,5.046401,14.524687,22.897495,16.587967,-22.815435,-0.000000
11-03-2021,77.726873,-109.546161,106.224264,-126.886465,12.722621,30.067976,21.551290,-10.642437,40.664292,22.893464,-6.395700,-0.844355,6.936863,-0.000000
11-18-2021,0.268555,16.193925,-55.028206,67.686129,18.814450,-34.493495,74.624527,48.794604,30.223249,0.524590,2.559123,-16.764639,-0.053497,-0.000000
12-14-2021,-127.204046,35.569477,73.533922,105.043323,-34.306055,-40.635787,-12.608797,-50.192195,4.662365,21.495844,-19.447720,-10.903251,10.748172,-0.000000
